0.152	0.0406449
0.145	0.038592
0.139	0.037028
0.143	0.037853
0.155	0.041132
0.16	0.0424189
0.153	0.0407549
0.145	0.0387391
0.133	0.035589
0.133	0.035699
0.149	0.039904
0.151	0.040095
0.148	0.0394169
0.142	0.0377659
0.143	0.038062
0.159	0.0421329
0.163	0.0433481
0.147	0.039119
0.149	0.0398221
0.151	0.040442
0.16	0.042408
0.214	0.056761
0.16	0.042555
0.157	0.0420591
0.157	0.041766
0.168	0.0447209
0.154	0.040945
0.148	0.03936
0.143	0.0383559
0.155	0.041321
0.143	0.038203
0.142	0.0381119
0.157	0.0421491
0.148	0.039547
0.184	0.050947
0.154	0.040894
0.151	0.0403699
0.145	0.0389609
0.15	0.040161
0.144	0.038492
0.213	0.05898
0.166	0.0459061
0.157	0.041969
0.132	0.0353119
0.156	0.041292
0.12	0.03205
0.144	0.038418
0.169	0.044623
0.145	0.038533
9.313	3.12606
0.144	0.038541
0.176	0.047748
0.153	0.040535
0.139	0.0370439
0.126	0.033805
0.114	0.0304
0.126	0.03345
0.121	0.032299
0.149	0.0396089
0.149	0.039818
0.997	0.31861
0.151	0.040232
0.169	0.044962
0.155	0.041118
0.151	0.040192
0.141	0.0375351
0.173	0.04602
0.184	0.050851
0.142	0.038018
0.148	0.039808
0.178	0.048953
0.155	0.041561
0.205	0.058573
0.132	0.035182
0.132	0.035252
0.143	0.038326
0.155	0.041323
0.116	0.030853
0.147	0.0392339
0.138	0.036819
0.175	0.0469079
0.265	0.069237
0.151	0.0403051
0.143	0.038267
0.144	0.0386509
0.144	0.038392
0.224	0.057428
0.117	0.031288
0.116	0.0310809
0.122	0.032478
0.124	0.0328709
0.141	0.03765
4.755	1.61963
0.172	0.0479431
0.147	0.039276
0.159	0.042325
0.159	0.042269
0.147	0.038998
0.17	0.045139
0.132	0.035463
0.244	0.065088
0.172	0.045721
0.146	0.0390881
0.302	0.090252
0.15	0.0399309
0.152	0.040525
0.157	0.0418649
0.159	0.0423701
0.201	0.054625
0.141	0.037733
0.154	0.0412951
0.142	0.0376131
0.144	0.038158
0.144	0.038145
0.183	0.04841
0.156	0.041133
0.244	0.064912
0.268	0.074781
0.157	0.04142
0.169	0.0453599
0.159	0.042217
0.143	0.038126
0.145	0.038565
0.154	0.041213
0.125	0.033343
0.155	0.041444
0.151	0.040325
0.147	0.03951
0.145	0.038853
11.182	3.76912
0.16	0.042767
0.157	0.0415819
0.151	0.039952
0.144	0.0384629
6.708	2.26058
0.122	0.0324009
0.246	0.064059
0.191	0.050824
0.146	0.038842
0.15	0.0400001
0.148	0.0392421
0.145	0.038746
0.155	0.04092
0.142	0.037996
0.157	0.041534
0.168	0.044567
0.135	0.0363131
0.137	0.036565
0.17	0.0451751
0.165	0.043906
0.153	0.040517
0.147	0.039163
0.143	0.038272
0.146	0.038848
0.143	0.039594
0.289	0.0850729
0.142	0.037602
0.151	0.040028
0.13	0.0348261
0.137	0.0365761
0.142	0.037816
0.155	0.0414851
0.236	0.066245
0.169	0.045144
0.246	0.067585
0.155	0.0412429
0.137	0.036648
0.124	0.03305
0.136	0.036099
0.342	0.073733
4.636	1.53919
0.138	0.036976
10.348	13.9092
9.306	3.17139
0.135	0.0364271
0.185	0.050651
0.161	0.0428209
0.187	0.050027
0.16	0.042481
0.143	0.038391
0.154	0.0409031
0.16	0.0440681
0.293	0.081212
0.142	0.037721
0.141	0.0374439
0.146	0.038749
0.151	0.0400101
0.142	0.037885
0.147	0.039581
0.127	0.033883
0.181	0.049578
0.119	0.0320651
0.144	0.038566
0.154	0.041076
0.149	0.040691
0.252	0.0694189
0.166	0.044195
0.164	0.043851
0.128	0.0340251
0.159	0.042369
0.151	0.0402509
0.256	0.071369
