0.234	0.063983
0.307	0.080215
0.282	0.075369
0.265	0.069579
0.416	0.112408
0.283	0.074193
0.41	0.110951
0.293	0.077426
0.27	0.070876
0.277	0.072579
0.492	0.113051
0.285	0.074688
0.419	0.112948
0.356	0.0958219
0.278	0.073025
0.414	0.112104
0.289	0.0758209
0.404	0.109429
0.301	0.078526
0.313	0.0819881
0.303	0.0793389
0.465	0.125343
0.298	0.078217
0.305	0.0797129
0.332	0.0868191
0.417	0.113542
0.476	0.108736
0.284	0.0745
0.272	0.071482
0.407	0.11017
0.407	0.110191
0.277	0.0724561
0.289	0.076002
0.309	0.080999
0.305	0.079989
0.264	0.0703899
0.408	0.110634
0.474	0.108256
0.279	0.07315
0.259	0.067921
0.365	0.095644
0.25	0.0655069
0.402	0.109022
0.444	0.119539
0.261	0.068463
9.15	3.13896
0.224	0.058686
0.41	0.110621
0.254	0.066602
12.853	4.36829
0.302	0.0839001
0.305	0.0831509
0.283	0.074013
0.305	0.0798261
11.426	6.06162
0.519	0.11855
0.428	0.115175
0.242	0.065004
0.475	0.107882
0.423	0.113958
0.259	0.0675981
0.411	0.11099
0.299	0.078299
0.494	0.112665
0.485	0.109744
0.408	0.110653
0.542	0.136024
0.253	0.066123
0.408	0.11029
0.307	0.081677
0.356	0.093233
0.391	0.106259
0.574	0.164438
0.42	0.113196
0.401	0.108286
0.404	0.109197
0.278	0.0728839
0.255	0.068362
0.286	0.076588
0.258	0.0689069
0.301	0.078749
0.308	0.082324
0.415	0.111984
0.288	0.076313
0.398	0.107815
0.401	0.108472
0.409	0.110091
0.235	0.0616451
0.227	0.060739
0.24	0.0626469
0.219	0.0573091
0.407	0.110068
11.561	3.92379
0.238	0.062258
0.319	0.0910279
0.299	0.0785231
0.412	0.111361
0.41	0.110788
0.487	0.111893
0.518	0.138824
0.247	0.064597
0.262	0.0683649
0.285	0.076297
0.403	0.109258
0.409	0.110505
0.403	0.108873
0.374	0.107432
0.301	0.078828
0.283	0.074235
0.652	0.175001
0.446	0.113987
0.432	0.116291
0.541	0.135882
0.534	0.133959
0.335	0.087752
0.485	0.109361
0.285	0.07468
0.289	0.0769771
0.402	0.108758
0.301	0.078756
0.449	0.111142
0.28	0.073346
0.416	0.112283
0.407	0.110159
0.41	0.110702
0.408	0.110825
0.415	0.112018
0.281	0.07341
0.4	0.108363
0.476	0.108124
0.546	0.136962
0.299	0.078692
0.42	0.113373
0.281	0.0734871
11.103	3.79689
0.225	0.058862
0.226	0.060275
0.289	0.075597
0.282	0.0752651
0.283	0.074197
0.411	0.111124
0.406	0.109629
0.278	0.073917
0.405	0.10939
0.498	0.143229
0.31	0.0811099
0.281	0.075652
0.281	0.073508
0.307	0.081499
0.279	0.073068
0.29	0.076217
0.41	0.110797
0.275	0.07378
0.302	0.080313
0.404	0.109336
0.346	0.093187
0.414	0.111512
6.053	1.99281
6.54	2.15125
5.663	1.86123
6.07	1.9956
0.415	0.111957
0.512	0.126914
0.323	0.0846271
0.339	0.104965
0.42	0.113309
0.23	0.060829
0.223	0.058668
0.481	0.118473
0.277	0.0726019
0.275	0.073742
0.246	0.064809
9.448	3.46893
10.294	3.50507
9.404	3.23408
0.404	0.104361
0.284	0.074251
0.245	0.064105
0.262	0.06915
0.287	0.07498
0.279	0.0731549
0.4	0.108219
0.265	0.070728
0.262	0.069606
0.264	0.0701139
0.26	0.06827
0.259	0.067996
0.279	0.073186
0.295	0.077112
0.244	0.064754
0.303	0.080867
4.749	1.56044
0.392	0.106764
0.412	0.111356
0.487	0.124129
0.264	0.069589
0.407	0.110291
0.306	0.079921
0.533	0.133529
0.28	0.0733141
0.275	0.072142
0.286	0.0764639
0.409	0.110558
0.273	0.0716781
0.416	0.112562
0.405	0.109652
0.535	0.155441
0.581	0.145705
0.272	0.0717021
0.426	0.115029
0.285	0.074542
0.286	0.074747
0.228	0.0596161
0.512	0.11712
0.499	0.115158
12.616	4.3038
0.454	0.115937
0.287	0.0750989
0.415	0.115041
0.319	0.088377
0.266	0.071195
0.296	0.078068
0.303	0.0810639
0.406	0.109817
0.414	0.111992
0.281	0.0735869
0.287	0.076151
0.418	0.11348
0.31	0.0823099
0.398	0.108733
6.072	1.99729
0.292	0.0778351
0.246	0.06586
0.301	0.0802049
0.412	0.111265
0.413	0.111805
0.285	0.074539
0.298	0.0780091
8.364	3.77484
0.282	0.0740751
0.41	0.111346
0.326	0.085474
10.016	3.36038
0.253	0.0683099
0.27	0.070893
0.271	0.072437
0.278	0.0744211
0.388	0.1045
6.08	2.0014
6.062	1.99336
0.307	0.0815911
0.49	0.112868
0.227	0.05945
0.287	0.076754
0.424	0.1147
0.331	0.0864781
4.557	1.56296
0.369	0.0992389
0.412	0.111074
0.555	0.163035
0.392	0.107003
0.308	0.08178
0.406	0.109882
0.297	0.077778
0.398	0.108441
0.413	0.11191
0.397	0.107817
0.403	0.108897
0.488	0.11147
0.49	0.112325
0.401	0.108353
6.557	2.15458
0.368	0.0987359
0.403	0.109304
0.407	0.110128
0.311	0.081391
0.417	0.11257
6.613	2.17539
0.288	0.076562
0.427	0.115034
0.483	0.108705
0.298	0.078148
0.492	0.112403
0.3	0.0786741
0.511	0.137221
0.362	0.096568
0.244	0.065653
0.418	0.113014
0.406	0.109855
0.301	0.0803421
0.481	0.109684
0.273	0.072708
0.26	0.0682649
0.399	0.108055
0.403	0.109033
0.312	0.081726
4.895	1.62159
0.281	0.0734139
0.269	0.070398
0.493	0.112883
0.411	0.111184
0.544	0.136642
11.649	3.93726
0.261	0.070145
0.414	0.113362
